time(s),mls0_(m),mls1_(m),V(m/s),W(rad/s)
1614597172.021423,0.01600000075995922,-0.009999999776482582,-0.2588810792562995,0.047676256899014356
1614597172.071488,0.014999999664723873,-0.010999999940395355,-0.2562850233552736,0.05119757051207988
1614597172.121427,0.013000000268220901,-0.009999999776482582,-0.25963317978916883,0.04696387444252918
1614597172.17147,0.012000000104308128,-0.009999999776482582,-0.2606297515451144,0.04685923535513224
1614597172.221402,0.010999999940395355,-0.008999999612569809,-0.2601870851035197,0.046211344209790596
1614597172.271464,0.008999999612569809,-0.008999999612569809,-0.26354171440737356,0.04195387896548984
1614597172.321419,0.00800000037997961,-0.00800000037997961,-0.2644590607531934,0.041839692211995565
1614597172.371468,0.007000000216066837,-0.00800000037997961,-0.26782919443210196,0.03750784092495535
1614597172.421424,0.006000000052154064,-0.007000000216066837,-0.2730875779700061,0.038721143924134546
1614597172.471516,0.004999999888241291,-0.006000000052154064,-0.2750389625391754,0.03377102325019081
1614597172.521417,0.004999999888241291,-0.006000000052154064,-0.2784572650673498,0.02918243217965933
1614597172.571476,0.004000000189989805,-0.004999999888241291,-0.28189061298318085,0.0245132757337827
1614597172.621429,0.003000000026077032,-0.004999999888241291,-0.28576964046844416,0.025006731647330034
1614597172.671488,0.003000000026077032,-0.004000000189989805,-0.28773675577731295,0.019930716843204646
1614597172.721379,0.003000000026077032,-0.004000000189989805,-0.29013456207545724,0.020096763753619018
1614597172.771463,0.0020000000949949026,-0.004000000189989805,-0.2925323683736015,0.02026280960884476
1614597172.821405,0.0020000000949949026,-0.003000000026077032,-0.2944844991935467,0.015134999603777049
1614597172.871505,0.0020000000949949026,-0.003000000026077032,-0.29842891609095373,0.015435629414435045
1614597172.921417,0.0020000000949949026,-0.003000000026077032,-0.3008356008981389,0.015560091072884452
1614597172.971515,0.0020000000949949026,-0.0020000000949949026,-0.30324228570532397,0.015684552268193968
1614597173.021405,0.003000000026077032,-0.0020000000949949026,-0.30519006635725965,0.010410224669228774
1614597173.07147,0.003000000026077032,-0.0020000000949949026,-0.30918902737526516,0.010614274716237581
1614597173.12142,0.003000000026077032,-0.0020000000949949026,-0.3116045666516344,0.01069719262910207
1614597173.171485,0.003000000026077032,-0.0020000000949949026,-0.3140201059280036,0.010780110399371825
1614597173.22141,0.003000000026077032,-0.0020000000949949026,-0.3164356452043729,0.010863028025941959
1614597173.271513,0.004000000189989805,-0.0020000000949949026,-0.320490636107948,0.011072346620474901
1614597173.321415,0.004000000189989805,-0.0020000000949949026,-0.3229185954724021,0.011156221397814341
1614597173.371492,0.004000000189989805,-0.0020000000949949026,-0.32534655483685626,0.011240096024908977
1614597173.421424,0.004000000189989805,-0.0020000000949949026,-0.3277745142013104,0.011323970500629683
1614597173.471489,0.004000000189989805,-0.0020000000949949026,-0.33020247356576454,0.011407844823847362
1614597173.521399,0.004000000189989805,-0.0020000000949949026,-0.3326304329302187,0.011491718993432919
1614597173.571457,0.004000000189989805,-0.0020000000949949026,-0.3350583922946728,0.011575593008257277
1614597173.621415,0.004999999888241291,-0.0020000000949949026,-0.3392060920635155,0.011793094089734186
1614597173.671504,0.004999999888241291,-0.003000000026077032,-0.3386794236407446,0.0176282648681749
1614597173.721452,0.004000000189989805,-0.003000000026077032,-0.3393425578131005,0.017551412104144022
1614597173.771479,0.004000000189989805,-0.003000000026077032,-0.34174924262028566,0.017675865385851836
1614597173.821403,0.003000000026077032,-0.003000000026077032,-0.3423681575990013,0.017595515513091586
1614597173.871486,0.0020000000949949026,-0.0020000000949949026,-0.3478376557971732,0.011940943591984622
1614597173.92141,0.0020000000949949026,-0.0020000000949949026,-0.34844535135277666,0.011885561619752232
1614597173.97147,0.0010000000474974513,-0.0010000000474974513,-0.35266876780608536,0.012106775577659426
1614597174.021409,0.0,-0.0010000000474974513,-0.3563823663439199,0.006089800997661475
1614597174.071479,0.0,0.0,-0.3588067361829942,0.006131227203168941
1614597174.121442,-0.0010000000474974513,0.0,-0.36254324968317647,-0.0
1614597174.17149,-0.0010000000474974513,0.0010000000474974513,-0.3649764258555468,-0.0
1614597174.221424,-0.0010000000474974513,0.0020000000949949026,-0.36420228979342817,-0.006183575372089904
1614597174.271475,-0.0010000000474974513,0.0020000000949949026,-0.36716200483921213,-0.012604264228258348
1614597174.321426,-0.0010000000474974513,0.0020000000949949026,-0.3695775443447332,-0.012687178421787236
1614597174.371462,-0.0010000000474974513,0.003000000026077032,-0.37254741888006443,-0.019390698525442746
1614597174.421452,-0.0010000000474974513,0.003000000026077032,-0.3749665579637012,-0.019516581922947668
1614597174.471488,-0.0010000000474974513,0.003000000026077032,-0.377385697047338,-0.019642464733647513
1614597174.521401,0.0,0.003000000026077032,-0.381752619520845,-0.019994980135292356
1614597174.571496,0.0010000000474974513,0.003000000026077032,-0.38222397521461154,-0.019894228579510762
1614597174.621412,0.0020000000949949026,0.003000000026077032,-0.3846431142982483,-0.020020109607113864
1614597174.671421,0.0020000000949949026,0.003000000026077032,-0.38506956914961754,-0.019915930916000118
1614597174.721414,0.003000000026077032,0.003000000026077032,-0.3854634501639105,-0.019809803420580425
1614597174.771425,0.004000000189989805,0.003000000026077032,-0.3898829387639877,-0.020164815627698878
1614597174.821412,0.004000000189989805,0.003000000026077032,-0.39228962357117286,-0.020289257085337985
1614597174.871477,0.004999999888241291,0.003000000026077032,-0.39673875340772924,-0.02064949791570339
1614597174.921436,0.004999999888241291,0.003000000026077032,-0.3991578921480203,-0.02077537522797537
1614597174.971524,0.006000000052154064,0.003000000026077032,-0.4015770308883113,-0.02090125191564439
1614597175.021445,0.006000000052154064,0.003000000026077032,-0.4025191153077939,-0.02805409540930652
1614597175.071483,0.006000000052154064,0.004000000189989805,-0.40849954172679676,-0.021395503550815473
1614597175.121493,0.007000000216066837,0.004000000189989805,-0.4094420221526499,-0.028715462186500073
1614597175.171431,0.007000000216066837,0.004999999888241291,-0.4118647560115413,-0.028885288685407608
1614597175.221397,0.007000000216066837,0.004999999888241291,-0.41064369036564125,-0.0359265990016889
1614597175.271491,0.007000000216066837,0.006000000052154064,-0.4130451154554988,-0.03613652617772816
1614597175.321402,0.007000000216066837,0.006000000052154064,-0.41173591596296466,-0.043136507824572554
1614597175.371482,0.007000000216066837,0.006000000052154064,-0.41411589235581414,-0.04338556012812015
1614597175.421409,0.007000000216066837,0.004999999888241291,-0.42024939072507145,-0.03676628982318779
1614597175.471473,0.007000000216066837,0.004000000189989805,-0.42265081581492897,-0.03697620502020363
1614597175.521414,0.007000000216066837,0.004000000189989805,-0.42882389302378127,-0.030074030344588873
1614597175.571498,0.007000000216066837,0.003000000026077032,-0.4350147099594182,-0.02292656827387497
1614597175.621445,0.007000000216066837,0.003000000026077032,-0.4374586128243588,-0.02305532711726107
1614597175.671499,0.007000000216066837,0.0020000000949949026,-0.4399025156892993,-0.02318408525333164
1614597175.721422,0.007000000216066837,0.0020000000949949026,-0.4461528076944356,-0.015706016144460218
1614597175.771521,0.007000000216066837,0.0010000000474974513,-0.4524199190095292,-0.00797830438433544
1614597175.8214,0.007000000216066837,0.0,-0.4587033335131371,-0.0
1614597175.871475,0.007000000216066837,-0.0010000000474974513,-0.4573915664711724,0.00806597458525716
1614597175.921431,0.007000000216066837,-0.003000000026077032,-0.45601253825121874,0.016053056054231324
1614597175.97147,0.007000000216066837,-0.004000000189989805,-0.4545659328789426,0.023956618995294072
1614597176.021436,0.007000000216066837,-0.004999999888241291,-0.4530512316126954,0.03177209502375771
1614597176.071429,0.006000000052154064,-0.004999999888241291,-0.44911383625633006,0.039043699897056756
1614597176.121431,0.006000000052154064,-0.006000000052154064,-0.44743346225206276,0.04657810944380931
1614597176.171498,0.004000000189989805,-0.006000000052154064,-0.4521955586563796,0.047369697137353874
1614597176.221403,0.004000000189989805,-0.006000000052154064,-0.456973748745913,0.04816920488821949
